Language 1,Sentence 1,Language 2,Sentence 2,Cosine similarity
de,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.64280546
de,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.57741916
de,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.7035037
de,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.61149347
de,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.44154674
de,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.49747437
de,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.5732471
de,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.56148624
de,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.5443474
de,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.48375338
de,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.53151995
de,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.5878298
de,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.6514639
de,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.58942264
de,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.48415452
de,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.6018547
de,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.59794235
de,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.63359284
de,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.7046015
de,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.6424155
de,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.52359307
de,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.62489283
de,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.529785
de,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.56116164
de,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.5116034
de,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.5451905
de,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.42193863
de,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.46917707
de,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.5269889
de,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.4086488
de,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.50854975
de,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.5360967
de,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.5185306
de,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.5556268
de,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.4132456
de,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.4820816
de,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.55107516
de,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.60875916
de,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.4919697
de,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.60105085
de,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.49681035
de,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.6109191
de,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.615375
de,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",it,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.59274274
de,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",it,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.53796357
de,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",it,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.6103725
de,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",it,Si serve anche con altri contorni o con una salsa a base di whisky.,0.51213735
de,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",it,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.5675013
de,"Daher wurden sie klein gehackt, gewürzt, gekocht und in einen Magen oder Darm als geeignete Hülle gefüllt.Traditionell werden zum Haggis Kohlrüben und Kartoffeln („neeps and tatties“) oder Clapshot gereicht.",it,L'haggis è un insaccato tradizionale della cucina scozzese.,0.64948595
