LANGUAGE1,SENTENCE1,LANGUAGE2,SENTENCE2,COSINE SIMILARITY
DE,"Haggis ist eine Spezialität aus der schottischen Küche und besteht aus dem Magen eines Schafes, paunch genannt, der mit Herz, Leber, Lunge, Nierenfett vom Schaf, Zwiebeln und Hafermehl gefüllt wird.",IT,L'haggis è un insaccato tradizionale della cucina scozzese.,0.64280534
DE,"Haggis ist mit Pfeffer scharf gewürzt, und das Hafermehl verleiht ihm eine etwas schwerere Konsistenz als Wurst.",IT,"Il preparato gastronomico è considerato un simbolo della tradizione scozzese, celebrato da Robert Burns come piatto nazionale della Scozia nella poesia Address to a Haggis del 1787.",0.56148636
DE,Ähnliche Gerichte sind Pfälzer Saumagen und Grützwurst.,IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.48415452
DE,"== Allgemeines ==
Obwohl Haggis als typisch schottisches Gericht gilt, wurden nachweislich bereits in der Antike Tiermägen oder Tierdärme gefüllt mit Innereien von den Römern verzehrt.",IT,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.6248927
DE,"Vergleichbare Gerichte gibt es auch heute in anderen Ländern, zum Beispiel in England hog puddings, die ähnlich auch in Wales und in Irland zubereitet werden.",IT,Si serve anche con altri contorni o con una salsa a base di whisky.,0.52698886
DE,"In Deutschland gibt es mit dem nordhessischen Weckewerk, dem Pfälzer Saumagen, dem niedersächsischen Calenberger Pfannenschlag, dem Bremer Knipp, der westfälischen Stippgrütze ähnliche, ursprünglich für die bäuerliche Schlachtresteverwertung gedachte Rezepturen.",IT,L'usanza prescrive che sia tagliato rigorosamente con una spada.,0.48208147
DE,In Rumänien wird das als Drob bekannte Gericht vor allem zu Ostern hergestellt.,IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.4919696
DE,"Haggis und ähnliche Gerichte wurden erfunden, um nach einer Schlachtung die schnell verderblichen Innereien des Tieres, im Allgemeinen vom Schwein, für einige Zeit haltbar zu machen.",IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.5379636
DE,"Daher wurden sie klein gehackt, gewürzt, gekocht und in einen Magen oder Darm als geeignete Hülle gefüllt.Traditionell werden zum Haggis Kohlrüben und Kartoffeln („neeps and tatties“) oder Clapshot gereicht.",IT,L'haggis è un insaccato tradizionale della cucina scozzese.,0.64948577
DE,Als Fast Food wird das Gericht auch in schottischen Chip-Shops mit Pommes frites serviert.,IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.45625874
DE,"Haggis wird inzwischen zunehmend als Bestandteil anderer Gerichte verwendet, etwa bei Balmoral Chicken, mit Haggis gefüllter und mit Schinkenspeck umwickelter Hühnerbrust.",IT,"Il ripieno, secondo tradizione, viene insaccato nello stomaco dell'animale stesso, sottoposto poi a bollitura per circa tre ore.
== Presentazione ==
Tradizionalmente viene servito con neeps and tatties (rutabaga e patate), bollite a parte e passate in purea, accompagnate da un dram, ovvero un bicchiere di Scotch whisky, in special modo come piatto principale della Burns supper, la celebrazione in memoria del poeta Robert Burns.",0.51722914
DE,"== Zubereitung ==
Der schottische Kochbuchautor Paul Harris schreibt in einem seiner Kochbücher als Einleitung zum Rezept für Haggis: 
Die Zubereitung eines Haggis dauert vier bis fünf Stunden.",IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.49371773
DE,Der Magen muss in kaltem Wasser sorgfältig ausgewaschen werden.,IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.567009
DE,Dann muss man ihn von innen nach außen wenden und die letzten Reste der Magensäure und die festen Reste  Magenschleimhaut mit einem Messer sorgfältig durch Abschaben entfernen.,IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.5608438
DE,"Um die Magenwand nicht zu verletzen, wird dazu die ungeschliffene Seite der Messerklinge verwendet.",IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.49396974
DE,"Das Herz, die Leber und die Lunge werden in einer leichten Fleischbrühe gar gekocht.",IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.61827844
DE,"Dabei ist darauf zu achten, dass das Ende der Luftröhre, das sich noch an der Lunge befindet, über den Rand des Kochtopfs gehängt wird und in eine Schüssel abtropfen kann.",IT,"== Preparazione ==
Il budello viene riempito con interiora di pecora (cuore, polmone, fegato), macinate insieme a cipolla, grasso di rognone, farina d'avena, sale e spezie, mescolati con brodo.",0.44542605
