Language 1,Sentence 1,Language 2,Sentence 2,Cosine similarity
de,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.7690156
de,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.6366444
de,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",fr,Le pasty se cuit au four.,0.549536
de,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.5843096
de,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.5046921
de,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.45693982
de,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.5632628
de,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.64268696
de,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",fr,Le pasty se cuit au four.,0.5359652
de,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.5701951
de,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.48735482
de,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.44927156
de,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.5285214
de,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.63566744
de,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",fr,Le pasty se cuit au four.,0.48956087
de,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.5930631
de,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.40271312
de,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.34438562
de,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.69291306
de,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.41738042
de,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",fr,Le pasty se cuit au four.,0.6050782
de,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.466934
de,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.58274794
de,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.36060637
de,Jahrhundert zurück.,fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.40808865
de,Jahrhundert zurück.,fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.39081165
de,Jahrhundert zurück.,fr,Le pasty se cuit au four.,0.47330764
de,Jahrhundert zurück.,fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.3802303
de,Jahrhundert zurück.,fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.4892825
de,Jahrhundert zurück.,fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.34624493
de,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.46718794
de,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.4788634
de,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,fr,Le pasty se cuit au four.,0.42071143
de,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.43512756
de,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.475246
de,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.32550877
de,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.40482906
de,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.55061376
de,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",fr,Le pasty se cuit au four.,0.34366256
de,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.40317047
de,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.4287701
de,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.43928558
de,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.5085536
de,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.56399643
de,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",fr,Le pasty se cuit au four.,0.51853275
de,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.49268955
de,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.55024093
de,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.4549421
de,Dies hatte praktikable Gründe.,fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.43677455
de,Dies hatte praktikable Gründe.,fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.40232766
de,Dies hatte praktikable Gründe.,fr,Le pasty se cuit au four.,0.43907169
de,Dies hatte praktikable Gründe.,fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.3896292
de,Dies hatte praktikable Gründe.,fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.4698816
de,Dies hatte praktikable Gründe.,fr,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.3616528
de,"Die Teigtaschen waren wie ein Eintopf, für den es keinen Teller brauchte.",fr,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.60503435
de,"Die Teigtaschen waren wie ein Eintopf, für den es keinen Teller brauchte.",fr,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.51681614
de,"Die Teigtaschen waren wie ein Eintopf, für den es keinen Teller brauchte.",fr,Le pasty se cuit au four.,0.6025161
de,"Die Teigtaschen waren wie ein Eintopf, für den es keinen Teller brauchte.",fr,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.6168643
de,"Die Teigtaschen waren wie ein Eintopf, für den es keinen Teller brauchte.",fr,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.50488305
