LANGUAGE1,SENTENCE1,LANGUAGE2,SENTENCE2,COSINE SIMILARITY
DE,"Cornish Pasty [kɔːnɪʃ pæstɪ] (Wortursprung Französisch: Paste/Pasta – eine Pastete mit beliebigem Inhalt, die ohne Geschirr und Besteck gegessen werden kann) ist die Bezeichnung für eine englische Version der Fleischpastete, die mit der Region um Cornwall assoziiert wird.",FR,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.7690158
DE,"Es handelt sich dabei um eine gefüllte Teigware, deren Füllung typischerweise aus Rindfleisch, Kartoffeln, Steckrüben, Zwiebeln, Salz und Pfeffer besteht.",FR,"Un pasty se prépare en plaçant une garniture, généralement de la viande et des légumes, sur la moitié d'une abaisse que l'on rabat en pressant les bords pour les refermer et former une poche refermant le contenu.",0.64268696
DE,"Die Teigtasche ist geformt wie ein „D“, wobei die Kruste, an welcher die Tasche nach dem Befüllen geschlossen wird, an der runden Außenseite verläuft.",FR,Le pasty se cuit au four.,0.489561
DE,"== Geschichte ==
Die Ursprünge der Cornish Pasty gehen bis in das 13.",FR,"Le pasty est proche d'une tourte, mais généralement avec une garniture dans une pâte rabattue, plutôt qu'entre deux abaisses, et formé sans moule à tarte.",0.46693382
DE,Jahrhundert zurück.,FR,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.48928243
DE,Damals war sie den höheren Klassen vorbehalten und mit unterschiedlichen Inhalten gefüllt.,FR,"Il existe des mets analogues dans bien d'autres cultures et cuisines, tels que le bridie écossais, l'empanada dans les pays hispanophones, le pirog en Bélarus et en Ukraine, le samsa en Asie centrale, ou le shaobing en Chine.",0.32550874
DE,"Neben Rindfleisch enthielten sie auch Lamm oder Meeresfrüchte, Obst und passende Saucen.",FR,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.4048292
DE,"Erst über die Jahrhunderte entwickelte das Gebäck sich zu einer Speise, die vor allem von Farmern und Bergleuten während der Arbeit gegessen wurde.",FR,Le pasty se cuit au four.,0.5185329
DE,Dies hatte praktikable Gründe.,FR,Les origines du pasty sont incertaines mais on dénombre d'amples références à travers des documents historiques et de la fiction.,0.46988142
DE,"Die Teigtaschen waren wie ein Eintopf, für den es keinen Teller brauchte.",FR,Le pasty se cuit au four.,0.6025163
DE,Die komplette Mahlzeit war an einem Stück und dazu noch leicht zu erwärmen.,FR,"Un pasty est une sorte de pâtisserie salée, britannique d'origine, dont une forme particulière est traditionnellement associée avec les Cornouailles,.",0.61819756
