LANGUAGE1,SENTENCE1,LANGUAGE2,SENTENCE2,COSINE SIMILARITY
DE,"Ein  Sandwich (Aussprache deutsch [ˈsɛntvɪt͡ʃ], englisch [ˈsæn(d)wɪd͡ʒ]) ist eine ursprünglich englische, heute international verbreitete Zwischenmahlzeit.",EN,"A sandwich is a food typically consisting of vegetables, sliced cheese or meat, placed on or between slices of bread, or more generally any dish wherein bread serves as a container or wrapper for another food type.",0.620001
DE,"Sie besteht aus zwei oder mehr dünnen Brotscheiben, zwischen denen sich ein beliebiger würziger Belag wie kalter Braten, Schinken, Thunfisch, Käse, Eier-, Gurken- oder Tomatenscheiben, auch kombiniert, befindet.",EN,"The sandwich began as a portable, convenient finger food in the Western world, though over time it has become prevalent worldwide.",0.3650565
DE,"Für klassische Sandwiches wird meist ungeröstetes Toastbrot ohne Rinde verwendet, die belegten Scheiben werden diagonal zu Dreiecken geschnitten.",EN,"In the 21st century there has been considerable debate over the precise definition of sandwich, and specifically whether a hot dog or open sandwich can be categorized as such.",0.44937736
DE,"== Zubereitung ==
Zur Zubereitung klassischer Sandwiches werden zunächst dünne, große Scheiben von Kastenweißbrot gebuttert, mit Braten, Schinken, Fisch, Lebercreme oder Ähnlichem belegt, mit Senf, Meerrettich, Mayonnaise, Ketchup, Sandwich Spread (einer Art Remoulade) oder Ähnlichem ergänzt, eventuell mit Blättern von Kopfsalat, Tomaten- oder Gurkenscheiben und mit einer zweiten gebutterten Brotscheibe bedeckt.",EN,"In the United States, the Department of Agriculture and the Food and Drug Administration are the responsible agencies.",0.33700097
DE,"Anschließend werden die Sandwiches etwas zusammengedrückt, die Ränder abgeschnitten und alles wird ein- oder zweimal diagonal durchgeschnitten.",EN,"The USDA uses the definition, ""at least 35% cooked meat and no more than 50% bread"" for closed sandwiches, and ""at least 50% cooked meat"" for open sandwiches.",0.36154652
DE,"Bei geeigneter Zusammenstellung der Zutaten haften alle Teile aneinander, so dass das Sandwich bequem aus der Hand gegessen werden kann.",EN,"In Britain, the British Sandwich Association defines a sandwich as ""any form of bread with a filling, generally assembled cold"", a definition which includes wraps and bagels, but excludes dishes assembled and served hot, such as burgers.Sandwiches are a popular type of lunch food, taken to work, school, or picnics to be eaten as part of a packed lunch.",0.46363944
DE,"== Geschichte ==
Wahrscheinlich wurde das Sandwich nach John Montagu, 4.",EN,"The bread may be plain or be coated with condiments, such as mayonnaise or mustard, to enhance its flavour and texture.",0.53220975
DE,"Earl of Sandwich, einem britischen Staatsmann und angeblich leidenschaftlichen Kartenspieler benannt, welcher der Überlieferung zufolge nach 1762 während eines stundenlangen Cribbage-Spiels keine Zeit zum Essen fand.",EN,"As well as being homemade, sandwiches are also widely sold in various retail outlets and can be served hot or cold.",0.50443566
DE,"Montagu habe sich daraufhin das Essen in zwei Brotscheiben legen lassen, worauf ein Mitspieler ebenfalls „ein Brot wie Sandwichs“ verlangt habe.",EN,"There are both savoury sandwiches, such as deli meat sandwiches, and sweet sandwiches, such as a peanut butter and jelly sandwich.",0.58524966
DE,"1765 wies ein Biograf Montagus diese Darstellung zurück und erklärte, es sei sehr viel wahrscheinlicher, dass dieser das Sandwich erfunden habe, um seine Arbeit am Schreibtisch nicht unterbrechen zu müssen.",EN,"The sandwich is named after its supposed inventor, John Montagu, 4th Earl of Sandwich.",0.57438624
DE,"Das ursprüngliche Sandwich bestand einfach aus einer Scheibe gesalzenen Rindfleischs zwischen zwei Scheiben Toastbrot.In der englischen Literatur werden Sandwiches ab etwa 1760 erwähnt, zunächst als Imbiss bei abendlichen Männergesellschaften.",EN,"The Wall Street Journal has described it as Britain's ""biggest contribution to gastronomy"".",0.5622903
DE,Als auch für Damen angemessene Zwischenmahlzeit wurde das Sandwich erst Ende des 18.,EN,"== History ==
The modern concept of a sandwich using slices of bread as found within the West can arguably be traced to 18th-century Europe.",0.6385054
DE,Jahrhunderts angesehen und bei Tanzbällen angeboten.,EN,"However, the use of some kind of bread or bread-like substance to lie under (or under and over) some other food, or used to scoop up and enclose or wrap some other type of food, long predates the eighteenth century, and is found in numerous much older cultures worldwide.",0.47824514
