Language 1,Sentence 1,Language 2,Sentence 2,Cosine similarity
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"A scone ( SKON or  SKOHN) is a traditional Scottish baked good, popular in Scotland, Ireland and England.",0.7680373
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"It is usually made of either wheat flour or oatmeal, with baking powder as a leavening agent, and baked on sheet pans.",0.5062272
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,A scone is often slightly sweetened and occasionally glazed with egg wash.,0.59430164
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,The scone is a basic component of the cream tea.,0.57029283
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,It differs from teacakes and other types of sweets that are made with yeast.,0.47588885
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"Scones were chosen as the Republic of Ireland representative for Café Europe during the Austrian presidency of the European Union in 2006, while the United Kingdom chose shortbread, also a Scottish baked product.",0.64813524
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"== Lexicology ==
The pronunciation of the word within the English-speaking world varies, with some pronouncing it  (rhymes with ""gone""), and others  (rhymes with ""tone"").",0.448307
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,The dominant pronunciation differs by area.,0.48883426
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"Pronunciation rhyming with ""tone"" is strongest in Scotland, Republic of Ireland, and English Midlands though it seems to have less prominent patches in Cornwall and Essex.",0.61901045
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"The pronunciation rhyming with ""gone"" is strongest in Northern England, although this also seems to be the favoured pronunciation in Southern England, Wales, the Home Counties, and East Anglia.",0.5198788
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,Natives of the Republic of Ireland and the United States mainly use the  pronunciation.,0.5326889
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"British dictionaries usually show the  form as the preferred pronunciation, while recognising the /skoʊn/ form.The difference in pronunciation is alluded to in a poem:
The Oxford English Dictionary reports that the first mention of the word was in 1513.",0.5666061
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,The origin of the word scone is obscure and may derive from different sources.,0.5764595
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"That is, the classic Scottish scone, the Dutch schoonbrood (very similar to the drop scone), and possibly other similarly named quick breads may have made their way onto the English tea table, where their similar names merged into one.",0.6099096
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"Thus, scone may derive from the Middle Dutch schoonbrood (fine white bread), from schoon (pure, clean) and brood (bread), or it may derive from the Scots Gaelic term sgonn, meaning a shapeless mass or large mouthful.",0.6109996
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"The Middle Low German term schöne, meaning fine bread, may also have played a role in the origination of this word.",0.46904725
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"If the explanation put forward by Sheila MacNiven Cameron is true, the word may also be based on the town of Scone ( ) (Scots: Scone, Scottish Gaelic: Sgàin) in Scotland, the ancient capital of that country – where Scottish monarchs were crowned, and on whose Stone of Scone the monarchs of the United Kingdom are still crowned today.",0.615031
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"== History ==
When baking powder became available to the masses, scones began to be the oven-baked, well-leavened items we know today.",0.5905963
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"Modern scones are widely available in British bakeries, grocery stores, and supermarkets.",0.6274351
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"A 2005 market report estimated the UK scone market to be worth £64m, showing a 9% increase over the previous five years.",0.54967487
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"The increase is partly due to an increasing consumer preference for impulse and convenience foods.Scones sold commercially are usually round, although some brands are hexagonal, as this shape may be tessellated for space efficiency.",0.5737138
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"When prepared at home, they may take various shapes, including triangles, rounds and squares.",0.48059213
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,Baking scones at home is often closely tied to heritage baking.,0.60367215
es,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",en,"They tend to be made using family recipes rather than recipe books, since it is often a family member who holds the ""best"" and most-treasured recipe.In 2023, a West London woman completed a decade-long project to sample a scone at every National Trust location (244 sites across England, Wales and Northern Ireland).",0.616889
