LANGUAGE1,SENTENCE1,LANGUAGE2,SENTENCE2,COSINE SIMILARITY
ES,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",EN,"A scone ( SKON or  SKOHN) is a traditional Scottish baked good, popular in Scotland, Ireland and England.",0.7680373
ES,"Es un alimento muy común en desayunos y meriendas tanto del Reino Unido como de Irlanda, Canadá, Australia, Nueva Zelanda y los Estados Unidos de Norte América.",EN,"It is usually made of either wheat flour or oatmeal, with baking powder as a leavening agent, and baked on sheet pans.",0.45961422
ES,"En Escocia, las porciones triangulares o redondos de la torta de pan aplanada llamada bannock (probablemente el antepasado del maritorito) se conocen igualmente como skone.",EN,A scone is often slightly sweetened and occasionally glazed with egg wash.,0.53268605
ES,"Está elaborado con harina de trigo, centeno o avena, mantequilla, levadura y maíz.",EN,The scone is a basic component of the cream tea.,0.38074678
ES,"Se suele servir templado y abierto por la mitad, y aparece como un ingrediente del high tea (merienda-cena) en Escocia.",EN,It differs from teacakes and other types of sweets that are made with yeast.,0.55128145
ES,"== Variantes ==
Los scones suelen ser dulces y contienen a menudo uvas pasas, arándanos, queso o dátiles.",EN,"Scones were chosen as the Republic of Ireland representative for Café Europe during the Austrian presidency of the European Union in 2006, while the United Kingdom chose shortbread, also a Scottish baked product.",0.508924
ES,"Existen también versiones saladas en el Úlster y en Escocia como los soda scones y los tattie scones, unos pastelitos de harina de patata fritos.",EN,"== Lexicology ==
The pronunciation of the word within the English-speaking world varies, with some pronouncing it  (rhymes with ""gone""), and others  (rhymes with ""tone"").",0.5033798
ES,"En Escocia, cuando los scones se fríen en vez de hornearlos son llamados griddle scones.",EN,The dominant pronunciation differs by area.,0.486117
ES,La tradición de freír los scones es también muy común en Nueva Zelanda.,EN,"Pronunciation rhyming with ""tone"" is strongest in Scotland, Republic of Ireland, and English Midlands though it seems to have less prominent patches in Cornwall and Essex.",0.5976926
ES,El bísquet es una variante creada en México por inmigrantes chinos llegados de los Estados Unidos.,EN,"The pronunciation rhyming with ""gone"" is strongest in Northern England, although this also seems to be the favoured pronunciation in Southern England, Wales, the Home Counties, and East Anglia.",0.3866681
ES,"Está elaborado con harina de trigo, centeno o avena, mantequilla, levadura y maíz.",EN,Natives of the Republic of Ireland and the United States mainly use the  pronunciation.,0.38123372
ES,"Un scone es un panecillo individual de forma redonda, típico de la cocina del Reino Unido y originario de Escocia.",EN,"British dictionaries usually show the  form as the preferred pronunciation, while recognising the /skoʊn/ form.The difference in pronunciation is alluded to in a poem:
The Oxford English Dictionary reports that the first mention of the word was in 1513.",0.56660604
ES,"Existen también versiones saladas en el Úlster y en Escocia como los soda scones y los tattie scones, unos pastelitos de harina de patata fritos.",EN,The origin of the word scone is obscure and may derive from different sources.,0.45703733
ES,"Está elaborado con harina de trigo, centeno o avena, mantequilla, levadura y maíz.",EN,"That is, the classic Scottish scone, the Dutch schoonbrood (very similar to the drop scone), and possibly other similarly named quick breads may have made their way onto the English tea table, where their similar names merged into one.",0.32143965
ES,"Existen también versiones saladas en el Úlster y en Escocia como los soda scones y los tattie scones, unos pastelitos de harina de patata fritos.",EN,"Thus, scone may derive from the Middle Dutch schoonbrood (fine white bread), from schoon (pure, clean) and brood (bread), or it may derive from the Scots Gaelic term sgonn, meaning a shapeless mass or large mouthful.",0.569
