Language 1,Sentence 1,Language 2,Sentence 2,Cosine similarity
it,"Le uova alla scozzese (in inglese scotch egg o egg ball) sono un piatto inglese, spesso consumato come antipasto.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.8218044
it,"Le uova alla scozzese (in inglese scotch egg o egg ball) sono un piatto inglese, spesso consumato come antipasto.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.55784893
it,"Le uova alla scozzese (in inglese scotch egg o egg ball) sono un piatto inglese, spesso consumato come antipasto.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.53047115
it,"Le uova alla scozzese (in inglese scotch egg o egg ball) sono un piatto inglese, spesso consumato come antipasto.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.6726571
it,"Le uova alla scozzese (in inglese scotch egg o egg ball) sono un piatto inglese, spesso consumato come antipasto.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.58159405
it,"Le uova alla scozzese (in inglese scotch egg o egg ball) sono un piatto inglese, spesso consumato come antipasto.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.62777615
it,"Consistono in uova sode di gallina o di quaglia che, dopo essere state avvolte con carne tritata di maiale, vengono successivamente rivestite di pangrattato prima di venire cotte o fritte.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.5351453
it,"Consistono in uova sode di gallina o di quaglia che, dopo essere state avvolte con carne tritata di maiale, vengono successivamente rivestite di pangrattato prima di venire cotte o fritte.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.76655996
it,"Consistono in uova sode di gallina o di quaglia che, dopo essere state avvolte con carne tritata di maiale, vengono successivamente rivestite di pangrattato prima di venire cotte o fritte.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.44697377
it,"Consistono in uova sode di gallina o di quaglia che, dopo essere state avvolte con carne tritata di maiale, vengono successivamente rivestite di pangrattato prima di venire cotte o fritte.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.5089814
it,"Consistono in uova sode di gallina o di quaglia che, dopo essere state avvolte con carne tritata di maiale, vengono successivamente rivestite di pangrattato prima di venire cotte o fritte.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.46867204
it,"Consistono in uova sode di gallina o di quaglia che, dopo essere state avvolte con carne tritata di maiale, vengono successivamente rivestite di pangrattato prima di venire cotte o fritte.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.50400656
it,"== Storia ==
Esistono diverse teorie sulle origini e l'etimologia delle uova alla scozzese.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.59660846
it,"== Storia ==
Esistono diverse teorie sulle origini e l'etimologia delle uova alla scozzese.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.44795972
it,"== Storia ==
Esistono diverse teorie sulle origini e l'etimologia delle uova alla scozzese.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.4039526
it,"== Storia ==
Esistono diverse teorie sulle origini e l'etimologia delle uova alla scozzese.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.5659289
it,"== Storia ==
Esistono diverse teorie sulle origini e l'etimologia delle uova alla scozzese.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.5034246
it,"== Storia ==
Esistono diverse teorie sulle origini e l'etimologia delle uova alla scozzese.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.59125817
it,"Tuttavia, a dispetto del suo nome, tale ricetta sarebbe stata inventata in Inghilterra.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.5489042
it,"Tuttavia, a dispetto del suo nome, tale ricetta sarebbe stata inventata in Inghilterra.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.408306
it,"Tuttavia, a dispetto del suo nome, tale ricetta sarebbe stata inventata in Inghilterra.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.4940846
it,"Tuttavia, a dispetto del suo nome, tale ricetta sarebbe stata inventata in Inghilterra.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.5207498
it,"Tuttavia, a dispetto del suo nome, tale ricetta sarebbe stata inventata in Inghilterra.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.5763298
it,"Tuttavia, a dispetto del suo nome, tale ricetta sarebbe stata inventata in Inghilterra.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.6001997
it,"Sebbene si pensi che siano state inventate nel grande magazzino londinese di Fortnum & Mason nel 1738, il Culinary Delights of Yorkshire (1981) di Peter Bone afferma che sarebbero nate a Whitby, nello Yorkshire, durante il XIX secolo, e che fossero originariamente ricoperte di pasta di pesce piuttosto che di carne di salsiccia.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.58283114
it,"Sebbene si pensi che siano state inventate nel grande magazzino londinese di Fortnum & Mason nel 1738, il Culinary Delights of Yorkshire (1981) di Peter Bone afferma che sarebbero nate a Whitby, nello Yorkshire, durante il XIX secolo, e che fossero originariamente ricoperte di pasta di pesce piuttosto che di carne di salsiccia.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.5217794
it,"Sebbene si pensi che siano state inventate nel grande magazzino londinese di Fortnum & Mason nel 1738, il Culinary Delights of Yorkshire (1981) di Peter Bone afferma che sarebbero nate a Whitby, nello Yorkshire, durante il XIX secolo, e che fossero originariamente ricoperte di pasta di pesce piuttosto che di carne di salsiccia.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.41455624
it,"Sebbene si pensi che siano state inventate nel grande magazzino londinese di Fortnum & Mason nel 1738, il Culinary Delights of Yorkshire (1981) di Peter Bone afferma che sarebbero nate a Whitby, nello Yorkshire, durante il XIX secolo, e che fossero originariamente ricoperte di pasta di pesce piuttosto che di carne di salsiccia.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.63211167
it,"Sebbene si pensi che siano state inventate nel grande magazzino londinese di Fortnum & Mason nel 1738, il Culinary Delights of Yorkshire (1981) di Peter Bone afferma che sarebbero nate a Whitby, nello Yorkshire, durante il XIX secolo, e che fossero originariamente ricoperte di pasta di pesce piuttosto che di carne di salsiccia.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.5830529
it,"Sebbene si pensi che siano state inventate nel grande magazzino londinese di Fortnum & Mason nel 1738, il Culinary Delights of Yorkshire (1981) di Peter Bone afferma che sarebbero nate a Whitby, nello Yorkshire, durante il XIX secolo, e che fossero originariamente ricoperte di pasta di pesce piuttosto che di carne di salsiccia.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.74458086
it,"Il loro nome proverrebbe da William J. Scott & Sons, un noto ristorante di Whitby che li vendeva.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.5430844
it,"Il loro nome proverrebbe da William J. Scott & Sons, un noto ristorante di Whitby che li vendeva.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.4304908
it,"Il loro nome proverrebbe da William J. Scott & Sons, un noto ristorante di Whitby che li vendeva.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.4184332
it,"Il loro nome proverrebbe da William J. Scott & Sons, un noto ristorante di Whitby che li vendeva.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.51704097
it,"Il loro nome proverrebbe da William J. Scott & Sons, un noto ristorante di Whitby che li vendeva.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.57709384
it,"Il loro nome proverrebbe da William J. Scott & Sons, un noto ristorante di Whitby che li vendeva.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.53685725
it,"È stato anche suggerito che in origine fossero chiamate ""scorch eggs"" (""uova bruciate""), dato che erano cotte a fuoco vivo.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.61331654
it,"È stato anche suggerito che in origine fossero chiamate ""scorch eggs"" (""uova bruciate""), dato che erano cotte a fuoco vivo.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.6111747
it,"È stato anche suggerito che in origine fossero chiamate ""scorch eggs"" (""uova bruciate""), dato che erano cotte a fuoco vivo.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.52909553
it,"È stato anche suggerito che in origine fossero chiamate ""scorch eggs"" (""uova bruciate""), dato che erano cotte a fuoco vivo.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.6021972
it,"È stato anche suggerito che in origine fossero chiamate ""scorch eggs"" (""uova bruciate""), dato che erano cotte a fuoco vivo.",de,"B. bei Picknicks, serviert, und können aus der Hand gegessen werden.",0.5990512
it,"È stato anche suggerito che in origine fossero chiamate ""scorch eggs"" (""uova bruciate""), dato che erano cotte a fuoco vivo.",de,Scotch eggs wurden erstmals 1738 in London von Fortnum & Mason hergestellt.,0.6104095
it,"Altri scrittori hanno notato somiglianze delle uova alla scozzese con un piatto della cucina Mughlai con carne e uova sode chiamato nargisi kofta (""polpette di Narciso"") e un piatto algerino.La prima ricetta stampata delle scotch egg appare nell'edizione del 1809 di A New System of Domestic Cookery di Maria Rundell che, così come altri autori del diciannovesimo secolo, li serviva caldi con la salsa gravy.Oggi le uova alla scozzese sono divenute uno spuntino comune nel Regno Unito, dove vengono vendute in molti negozi e supermercati in diverse varianti e dove vengono servite in molti pub.",de,Schottische Eier (scotch eggs) sind eine Snack-Spezialität aus der britischen Küche.,0.6281
it,"Altri scrittori hanno notato somiglianze delle uova alla scozzese con un piatto della cucina Mughlai con carne e uova sode chiamato nargisi kofta (""polpette di Narciso"") e un piatto algerino.La prima ricetta stampata delle scotch egg appare nell'edizione del 1809 di A New System of Domestic Cookery di Maria Rundell che, così come altri autori del diciannovesimo secolo, li serviva caldi con la salsa gravy.Oggi le uova alla scozzese sono divenute uno spuntino comune nel Regno Unito, dove vengono vendute in molti negozi e supermercati in diverse varianti e dove vengono servite in molti pub.",de,"Sie bestehen aus hart gekochten Eiern;  diese werden mit Wurstbrät umhüllt, mit Brotkrumen paniert und anschließend frittiert.",0.5103323
it,"Altri scrittori hanno notato somiglianze delle uova alla scozzese con un piatto della cucina Mughlai con carne e uova sode chiamato nargisi kofta (""polpette di Narciso"") e un piatto algerino.La prima ricetta stampata delle scotch egg appare nell'edizione del 1809 di A New System of Domestic Cookery di Maria Rundell che, così come altri autori del diciannovesimo secolo, li serviva caldi con la salsa gravy.Oggi le uova alla scozzese sono divenute uno spuntino comune nel Regno Unito, dove vengono vendute in molti negozi e supermercati in diverse varianti e dove vengono servite in molti pub.",de,"Das Resultat sind apfelgroße, orange-braune Kugeln.",0.44222853
it,"Altri scrittori hanno notato somiglianze delle uova alla scozzese con un piatto della cucina Mughlai con carne e uova sode chiamato nargisi kofta (""polpette di Narciso"") e un piatto algerino.La prima ricetta stampata delle scotch egg appare nell'edizione del 1809 di A New System of Domestic Cookery di Maria Rundell che, così come altri autori del diciannovesimo secolo, li serviva caldi con la salsa gravy.Oggi le uova alla scozzese sono divenute uno spuntino comune nel Regno Unito, dove vengono vendute in molti negozi e supermercati in diverse varianti e dove vengono servite in molti pub.",de,"Schottische Eier sind üblicherweise in Supermärkten Großbritanniens im Kühlregal zu finden;  sie werden meist kalt, z.",0.6806003
