LANGUAGE1,SENTENCE1,LANGUAGE2,SENTENCE2,COSINE SIMILARITY
EN,"Shepherd's pie, cottage pie, or in its French version hachis Parmentier, is a savoury dish of cooked minced meat topped with mashed potato and baked, formerly also called Sanders or Saunders.",FR,"Le cottage pie, ou shepherd's pie, est un mets d'origine britannique constitué d'une tourte à la viande avec une croûte de purée de pommes de terre,,,.",0.72959936
EN,The meat used may be either previously cooked or freshly minced.,FR,"== Historique ==
L'usage de l'expression cottage pie en anglais remonte à 1791,,, époque où la pomme de terre est devenue un aliment accessible aux pauvres (cf.",0.5210445
EN,The usual meats are beef or lamb.,FR,"cottage, qui désignait la demeure rurale du paysan).",0.5057729
EN,"The two English terms have been used interchangeably since they came into use in the late 18th and early 19th centuries, although some writers insist that a shepherd's pie should contain lamb or mutton, and a cottage pie, beef.",FR,"Dans les anciens livres de recettes, ce plat était présenté comme le moyen d'utiliser les restes de toutes sortes de viandes rôties, la tourte étant bordée et recouverte de purée de pommes de terre,.",0.55554587
EN,"== History ==
=== Cottage pie ===
The term was in use by 1791.",FR,"L'expression shepherd's pie n'est apparue qu'en 1877, et a été depuis employée comme synonyme de cottage pie, que le principal ingrédient soit du bœuf ou du mouton,,,,,,.",0.69876426
EN,"Parson Woodforde mentions ""Cottage-Pye"" in his diary entry for 29 August 1791 and several times thereafter.",FR,"La tendance actuelle est d'appeler shepherd's pie le mets préparé avec de la viande de mouton ou d'agneau, semblant suggérer qu'à l'origine les bergers étaient concernés par les ovins et non par les bovins,.",0.5873164
EN,He records that the meat was veal but does not say what the topping was.,FR,Il pourrait cependant s'agir d'un cas d'étymologie populaire.,0.5527031
EN,"The dish was known in its present form, though not under the same name, in the early 19th century: in 1806 Maria Rundell published a recipe for ""Sanders"", consisting of the same ingredients as cottage or shepherd's pie: minced beef or mutton, with onion and gravy, topped with mashed potato and baked as individual servings.",FR,"== Variantes ==
Il existe différentes variantes de ce plat :
le cumberland pie est une version recouverte d'une couche de chapelure ;
le fish pie, variante britannique au poisson ;
une version végétarienne peut être préparée avec du soja ou d'autres succédanés de viande (comme le  tofu ou le quorn), ou des légumineuses, comme les lentilles ou les pois chiches.Des plats similaires sont préparés dans de nombreux pays : 
le pastel de papa en Argentine ;
le pastelón de papa en République dominicaine, avec une couche de pommes de terre, une ou deux de viande, une autre couche de pommes de terre, le tout recouvert d'une couche de fromage ;
le hachis parmentier en France ;
le siniyet batata (littéralement « assiette de pommes de terre »), ou kibbet batata en Israel, Jordanie, Syrie et Liban ;
le pâté chinois au Québec et au Nouveau-Brunswick ;
le Kartofel'naya zapekanka (Картофельная запеканка) en Russie ;
le bolo de batata au Brésil (littéralement « gâteau de pommes de terre ») ;
l’empadão au Portugal, avec deux couches de purée de pomme de terre et une couche de bœuf haché au milieu.",0.62317365
EN,"Sanders or Saunders could also have a filling of sliced meat.In 20th-century and later use the term cottage pie has widely, but not exclusively, been used for a dish of chopped or minced beef with a mashed potato topping.",FR,"L'expression shepherd's pie n'est apparue qu'en 1877, et a été depuis employée comme synonyme de cottage pie, que le principal ingrédient soit du bœuf ou du mouton,,,,,,.",0.71520543
EN,The beef may be fresh or previously cooked; the latter was at one time more usual.,FR,"La tendance actuelle est d'appeler shepherd's pie le mets préparé avec de la viande de mouton ou d'agneau, semblant suggérer qu'à l'origine les bergers étaient concernés par les ovins et non par les bovins,.",0.7290195
